"";"cohort_id";"n_row";"n_subject";"follow_up_days";"n_Apr_Jun_2020";"n_Jan_Mar_2021";"n_Apr_Jun_2021";"n_Oct_Dec_2020";"n_Jul_Sep_2020";"n_Jan_Mar_2020";"n_Jul_Sep_2021"
"1";220128;822805;776468;234997513;77160;165504;74846;184720;83111;60672;176792
"2";220190;822805;776468;237354971;77160;165504;74846;184720;83111;60672;176792
"3";220228;839409;790367;242937408;77934;170300;76528;188413;83895;61632;180707
"4";220290;839409;790367;244255774;77934;170300;76528;188413;83895;61632;180707
"5";220328;856588;804902;250858439;79808;173113;78183;191827;85810;62759;185088
"6";220390;856588;804902;250918591;79808;173113;78183;191827;85810;62759;185088
"7";220428;836681;788272;241348156;77437;169238;76453;188085;84065;61090;180313
"8";220490;836681;788272;242984794;77437;169238;76453;188085;84065;61090;180313
"9";220528;853712;802510;249421630;79568;172405;77867;191374;85760;62520;184218
"10";220590;853712;802510;249727706;79568;172405;77867;191374;85760;62520;184218
"11";220628;845826;795871;245481574;78804;170663;77084;189743;84950;62052;182530
"12";220690;845826;795871;246493620;78804;170663;77084;189743;84950;62052;182530
"13";220728;855085;803630;250120160;79558;172659;78083;191557;85860;62672;184696
"14";220790;855085;803630;250319892;79558;172659;78083;191557;85860;62672;184696
"15";220828;839773;790777;243589701;76702;170411;76865;189193;84195;60186;182221
"16";220890;839773;790777;244639378;76702;170411;76865;189193;84195;60186;182221
"17";220928;848846;798344;247192379;78745;171538;77518;190275;85354;62043;183373
"18";220990;848846;798344;247796192;78745;171538;77518;190275;85354;62043;183373
"19";221028;842716;793218;244208616;78769;169933;76864;188920;84683;61831;181716
"20";221090;842716;793218;245257319;78769;169933;76864;188920;84683;61831;181716
"21";221128;849897;799312;247412206;78562;171883;77628;190654;85253;61994;183923
"22";221190;849897;799312;248185702;78562;171883;77628;190654;85253;61994;183923
"23";221228;841997;792538;244011802;78495;170276;76745;188870;84391;62007;181213
"24";221290;841997;792538;245256399;78495;170276;76745;188870;84391;62007;181213
"25";221328;836568;788111;241386453;77479;168897;76522;187494;83952;61367;180857
"26";221390;836568;788111;242933276;77479;168897;76522;187494;83952;61367;180857
"27";221428;838421;789739;242562731;78216;169267;76326;188518;84364;61547;180183
"28";221490;838421;789739;243868710;78216;169267;76326;188518;84364;61547;180183
"29";221628;835075;786415;242394237;76812;169405;76429;187780;83274;59992;181383
"30";221690;835075;786415;243246046;76812;169405;76429;187780;83274;59992;181383
"31";221728;821315;775028;233950608;77184;165385;74910;183587;82430;60882;176937
"32";221790;821315;775028;236538395;77184;165385;74910;183587;82430;60882;176937
"33";221828;856515;804850;250716411;79858;173035;78129;191898;85937;62747;184911
"34";221890;856515;804850;250839673;79858;173035;78129;191898;85937;62747;184911
"35";221928;852957;801937;249123540;79631;172259;77821;191152;85646;62553;183895
"36";221990;852957;801937;249482716;79631;172259;77821;191152;85646;62553;183895
"37";222028;856458;804766;250794955;79815;173050;78173;191815;85903;62744;184958
"38";222090;856458;804766;250879486;79815;173050;78173;191815;85903;62744;184958
"39";222128;849146;798639;247197226;79151;171448;77411;190269;85360;62229;183278
"40";222190;849146;798639;247800462;79151;171448;77411;190269;85360;62229;183278
"41";222528;854777;803404;249868477;79703;172698;77945;191585;85768;62621;184457
"42";222590;854777;803404;250131883;79703;172698;77945;191585;85768;62621;184457
"43";222628;857732;805884;251393884;79974;173313;78264;192093;86016;62861;185211
"44";222690;857732;805884;251393884;79974;173313;78264;192093;86016;62861;185211
"45";222728;847050;796822;246091087;78547;171035;77324;190040;85098;61898;183108
"46";222790;847050;796822;247000571;78547;171035;77324;190040;85098;61898;183108
"47";222828;853900;802666;249371433;79530;172498;77861;191342;85724;62534;184411
"48";222890;853900;802666;249797145;79530;172498;77861;191342;85724;62534;184411
"49";223228;852208;801176;248681827;79332;172122;77742;191051;85633;62320;184008
"50";223290;852208;801176;249113232;79332;172122;77742;191051;85633;62320;184008
"51";700128;753094;753094;217322861;74708;149697;66847;172598;74728;60672;153844
"52";700190;753094;753094;219370128;74708;149697;66847;172598;74728;60672;153844
"53";700228;767204;767204;224261409;75484;153624;68206;175959;75468;61632;156831
"54";700290;767204;767204;225451170;75484;153624;68206;175959;75468;61632;156831
"55";700328;782006;782006;231283841;77280;155979;69569;178996;77125;62759;160298
"56";700390;782006;782006;231338085;77280;155979;69569;178996;77125;62759;160298
"57";700428;765026;765026;222926168;75018;152796;68183;175695;75675;61090;156569
"58";700490;765026;765026;224377225;75018;152796;68183;175695;75675;61090;156569
"59";700528;779484;779484;229999795;77024;155380;69306;178575;77042;62520;159637
"60";700590;779484;779484;230262356;77024;155380;69306;178575;77042;62520;159637
"61";700628;772811;772811;226529780;76297;153962;68693;177124;76373;62052;158310
"62";700690;772811;772811;227428456;76297;153962;68693;177124;76373;62052;158310
"63";700728;780705;780705;230632266;77028;155595;69495;178762;77146;62672;160007
"64";700790;780705;780705;230805854;77028;155595;69495;178762;77146;62672;160007
"65";700828;767329;767329;224828071;74285;153756;68493;176663;75879;60186;158067
"66";700890;767329;767329;225765193;74285;153756;68493;176663;75879;60186;158067
"67";700928;775394;775394;228058954;76263;154682;69033;177640;76742;62043;158991
"68";700990;775394;775394;228592348;76263;154682;69033;177640;76742;62043;158991
"69";701028;770072;770072;225405978;76268;153317;68522;176360;76109;61831;157665
"70";701090;770072;770072;226315825;76268;153317;68522;176360;76109;61831;157665
"71";701128;776478;776478;228288973;76115;155030;69161;178010;76738;61994;159430
"72";701190;776478;776478;228987390;76115;155030;69161;178010;76738;61994;159430
"73";701228;769561;769561;225272327;76015;153640;68413;176380;75905;62007;157201
"74";701290;769561;769561;226375659;76015;153640;68413;176380;75905;62007;157201
"75";701328;765039;765039;223011443;75068;152550;68279;175174;75584;61367;157017
"76";701390;765039;765039;224386290;75068;152550;68279;175174;75584;61367;157017
"77";701428;766537;766537;224024875;75741;152797;68071;176056;75881;61547;156444
"78";701490;766537;766537;225152411;75741;152797;68071;176056;75881;61547;156444
"79";701628;763320;763320;223836860;74426;152923;68134;175393;75073;59992;157379
"80";701690;763320;763320;224568539;74426;152923;68134;175393;75073;59992;157379
"81";701728;751615;751615;216306729;74728;149491;66898;171560;74110;60882;153946
"82";701790;751615;751615;218590983;74728;149491;66898;171560;74110;60882;153946
"83";701828;781900;781900;231144752;77310;155909;69522;179048;77203;62747;160161
"84";701890;781900;781900;231250285;77310;155909;69522;179048;77203;62747;160161
"85";701928;778882;778882;229751681;77086;155264;69278;178394;76944;62553;159363
"86";701990;778882;778882;230061363;77086;155264;69278;178394;76944;62553;159363
"87";702028;781827;781827;231205406;77270;155911;69560;178978;77173;62744;160191
"88";702090;781827;781827;231281538;77270;155911;69560;178978;77173;62744;160191
"89";702128;775605;775605;228057307;76634;154609;68959;177584;76693;62229;158897
"90";702190;775605;775605;228578268;76634;154609;68959;177584;76693;62229;158897
"91";702528;780411;780411;230392287;77155;155630;69371;178772;77057;62621;159805
"92";702590;780411;780411;230624070;77155;155630;69371;178772;77057;62621;159805
"93";702628;782948;782948;231740635;77422;156139;69633;179231;77269;62861;160393
"94";702690;782948;782948;231740635;77422;156139;69633;179231;77269;62861;160393
"95";702728;773889;773889;227079233;76082;154280;68900;177394;76542;61898;158793
"96";702790;773889;773889;227890861;76082;154280;68900;177394;76542;61898;158793
"97";702828;779715;779715;229971773;77012;155468;69320;178573;77046;62534;159762
"98";702890;779715;779715;230350953;77012;155468;69320;178573;77046;62534;159762
"99";703228;778201;778201;229343296;76814;155132;69223;178295;76966;62320;159451
"100";703290;778201;778201;229725564;76814;155132;69223;178295;76966;62320;159451
"101";310128;414666;409078;117647246;20886;87376;46261;102246;46640;11328;99929
"102";310190;414666;409078;118632528;20886;87376;46261;102246;46640;11328;99929
"103";310228;422827;416981;121398489;21037;89560;47253;104330;47184;11473;101990
"104";310290;422827;416981;121927075;21037;89560;47253;104330;47184;11473;101990
"105";310328;430823;424699;125009254;21435;90927;48175;106203;48212;11668;104203
"106";310390;430823;424699;125033095;21435;90927;48175;106203;48212;11668;104203
"107";310428;421666;415924;120759906;20792;89097;47223;104177;47250;11302;101825
"108";310490;421666;415924;121432771;20792;89097;47223;104177;47250;11302;101825
"109";310528;429707;423625;124399814;21396;90614;48027;105965;48236;11642;103827
"110";310590;429707;423625;124544046;21396;90614;48027;105965;48236;11642;103827
"111";310628;425864;419902;122524055;21256;89754;47576;105035;47729;11552;102962
"112";310690;425864;419902;122988603;21256;89754;47576;105035;47729;11552;102962
"113";310728;430228;424135;124683242;21300;90725;48134;106083;48289;11616;104081
"114";310790;430228;424135;124782290;21300;90725;48134;106083;48289;11616;104081
"115";310828;423328;417483;121819088;20807;89486;47387;104543;47250;11185;102670
"116";310890;423328;417483;122270451;20807;89486;47387;104543;47250;11185;102670
"117";310928;427095;421138;123294088;20974;90171;47824;105361;47997;11339;103429
"118";310990;427095;421138;123558253;20974;90171;47824;105361;47997;11339;103429
"119";311028;424440;418528;122003824;21236;89488;47460;104625;47602;11516;102513
"120";311090;424440;418528;122440321;21236;89488;47460;104625;47602;11516;102513
"121";311128;427565;421589;123248077;21077;90276;47910;105497;47892;11251;103662
"122";311190;427565;421589;123669199;21077;90276;47910;105497;47892;11251;103662
"123";311228;423276;417407;121595532;21059;89454;47352;104502;47330;11486;102093
"124";311290;423276;417407;122179836;21059;89454;47352;104502;47330;11486;102093
"125";311328;420777;415058;120458433;20576;88969;47266;103757;47116;11077;102016
"126";311390;420777;415058;121098430;20576;88969;47266;103757;47116;11077;102016
"127";311428;422004;416205;121131612;21098;89036;47149;104312;47374;11442;101593
"128";311490;422004;416205;121685145;21098;89036;47149;104312;47374;11442;101593
"129";311628;419222;413459;120706183;20501;88909;47105;103512;46448;10687;102060
"130";311690;419222;413459;121006463;20501;88909;47105;103512;46448;10687;102060
"131";311728;413628;408061;116929736;20781;87276;46324;101668;46125;11291;100163
"132";311790;413628;408061;118014148;20781;87276;46324;101668;46125;11291;100163
"133";311828;431048;424914;125026795;21495;90927;48164;106285;48327;11697;104153
"134";311890;431048;424914;125093121;21495;90927;48164;106285;48327;11697;104153
"135";311928;429376;423296;124308220;21451;90582;47989;105896;48167;11686;103605
"136";311990;429376;423296;124458779;21451;90582;47989;105896;48167;11686;103605
"137";312028;430924;424794;125038859;21467;90912;48180;106220;48301;11667;104177
"138";312090;430924;424794;125078524;21467;90912;48180;106220;48301;11667;104177
"139";312128;427474;421465;123385507;21300;90191;47757;105346;47985;11566;103329
"140";312190;427474;421465;123640244;21300;90191;47757;105346;47985;11566;103329
"141";312528;430239;424134;124636635;21460;90753;48055;106121;48228;11676;103946
"142";312590;430239;424134;124757864;21460;90753;48055;106121;48228;11676;103946
"143";312628;431571;425423;125342627;21525;91052;48230;106389;48370;11719;104286
"144";312690;431571;425423;125342627;21525;91052;48230;106389;48370;11719;104286
"145";312728;426141;420205;122697114;20973;89864;47711;105210;47816;11328;103239
"146";312790;426141;420205;123118392;20973;89864;47711;105210;47816;11328;103239
"147";312828;429701;423615;124348660;21386;90656;48023;105972;48188;11618;103858
"148";312890;429701;423615;124563009;21386;90656;48023;105972;48188;11618;103858
"149";313228;428788;422735;123985959;21265;90453;47916;105779;48155;11530;103690
"150";313290;428788;422735;124198157;21265;90453;47916;105779;48155;11530;103690
"151";710128;69711;66369;17674652;2452;15807;7999;12122;8383;NA;22948
"152";710190;69711;66369;17984843;2452;15807;7999;12122;8383;NA;22948
"153";710228;72205;68494;18675999;2450;16676;8322;12454;8427;NA;23876
"154";710290;72205;68494;18804604;2450;16676;8322;12454;8427;NA;23876
"155";710328;74582;70570;19574598;2528;17134;8614;12831;8685;NA;24790
"156";710390;74582;70570;19580506;2528;17134;8614;12831;8685;NA;24790
"157";710428;71655;68036;18421988;2419;16442;8270;12390;8390;NA;23744
"158";710490;71655;68036;18607569;2419;16442;8270;12390;8390;NA;23744
"159";710528;74228;70272;19421835;2544;17025;8561;12799;8718;NA;24581
"160";710590;74228;70272;19465350;2544;17025;8561;12799;8718;NA;24581
"161";710628;73015;69233;18951794;2507;16701;8391;12619;8577;NA;24220
"162";710690;73015;69233;19065164;2507;16701;8391;12619;8577;NA;24220
"163";710728;74380;70391;19487894;2530;17064;8588;12795;8714;NA;24689
"164";710790;74380;70391;19514038;2530;17064;8588;12795;8714;NA;24689
"165";710828;72444;68721;18761630;2417;16655;8372;12530;8316;NA;24154
"166";710890;72444;68721;18874185;2417;16655;8372;12530;8316;NA;24154
"167";710928;73452;69597;19133425;2482;16856;8485;12635;8612;NA;24382
"168";710990;73452;69597;19203844;2482;16856;8485;12635;8612;NA;24382
"169";711028;72644;68888;18802638;2501;16616;8342;12560;8574;NA;24051
"170";711090;72644;68888;18941494;2501;16616;8342;12560;8574;NA;24051
"171";711128;73419;69558;19123233;2447;16853;8467;12644;8515;NA;24493
"172";711190;73419;69558;19198312;2447;16853;8467;12644;8515;NA;24493
"173";711228;72436;68712;18739475;2480;16636;8332;12490;8486;NA;24012
"174";711290;72436;68712;18880740;2480;16636;8332;12490;8486;NA;24012
"175";711328;71529;67927;18375010;2411;16347;8243;12320;8368;NA;23840
"176";711390;71529;67927;18546986;2411;16347;8243;12320;8368;NA;23840
"177";711428;71884;68253;18537856;2475;16470;8255;12462;8483;NA;23739
"178";711490;71884;68253;18716299;2475;16470;8255;12462;8483;NA;23739
"179";711628;71755;68088;18557377;2386;16482;8295;12387;8201;NA;24004
"180";711690;71755;68088;18677507;2386;16482;8295;12387;8201;NA;24004
"181";711728;69700;66370;17643879;2456;15894;8012;12027;8320;NA;22991
"182";711790;69700;66370;17947412;2456;15894;8012;12027;8320;NA;22991
"183";711828;74615;70604;19571659;2548;17126;8607;12850;8734;NA;24750
"184";711890;74615;70604;19589388;2548;17126;8607;12850;8734;NA;24750
"185";711928;74075;70142;19371859;2545;16995;8543;12758;8702;NA;24532
"186";711990;74075;70142;19421353;2545;16995;8543;12758;8702;NA;24532
"187";712028;74631;70606;19589549;2545;17139;8613;12837;8730;NA;24767
"188";712090;74631;70606;19597948;2545;17139;8613;12837;8730;NA;24767
"189";712128;73541;69671;19139919;2517;16839;8452;12685;8667;NA;24381
"190";712190;73541;69671;19222194;2517;16839;8452;12685;8667;NA;24381
"191";712528;74366;70384;19476190;2548;17068;8574;12813;8711;NA;24652
"192";712590;74366;70384;19507813;2548;17068;8574;12813;8711;NA;24652
"193";712628;74784;70752;19653249;2552;17174;8631;12862;8747;NA;24818
"194";712690;74784;70752;19653249;2552;17174;8631;12862;8747;NA;24818
"195";712728;73161;69307;19011854;2465;16755;8424;12646;8556;NA;24315
"196";712790;73161;69307;19109710;2465;16755;8424;12646;8556;NA;24315
"197";712828;74185;70229;19399660;2518;17030;8541;12769;8678;NA;24649
"198";712890;74185;70229;19446192;2518;17030;8541;12769;8678;NA;24649
"199";713228;74007;70085;19338531;2518;16990;8519;12756;8667;NA;24557
"200";713290;74007;70085;19387668;2518;16990;8519;12756;8667;NA;24557
"201";300128;1534201;1534201;468813901;163647;327593;186080;439878;292835;8937;115231
"202";300190;1534201;1534201;472694028;163647;327593;186080;439878;292835;8937;115231
"203";300228;1568765;1568765;485369734;166824;336207;190007;449685;299193;9034;117815
"204";300290;1568765;1568765;487288978;166824;336207;190007;449685;299193;9034;117815
"205";300328;1594812;1594812;498866823;169660;340471;193205;456803;305666;9221;119786
"206";300390;1594812;1594812;498907184;169660;340471;193205;456803;305666;9221;119786
"207";300428;1563863;1563863;482183457;165169;334811;189983;449069;298369;8905;117557
